Code,Name,
94104,THE SCULLERY LTD,
100077,OH HAPPY TREATS LTD,
100293,LINDENMANN,
100463,CROWN INTERNATIONAL - GERMANY,
100802,SAVE THE DUCK S.P.A.,
100803,CITIZENS OF HUMANITY EUROPE,
101050,WHITE PEBBLE INTERNATIONAL LTD,
101292,ALEXANDROS ILIADIS S.A.,
101995,UBERSTAR LIMITED,
102122,UNITED LEGWEAR,
102123,LAINES LONDON LTD,
102182,PVH BRANDS IRELAND LIMITED,
102302,ALPHA BEER & CIDER DISTRIBUTIO,
102466,BILLIET VANLAERE NV,
102468,ANDANDO LTD,
103045,IRISH PROVINCIAL HAMPERS LTD,
103092,DOPPLER,
103095,BULMERS IRELAND,
103156,LUND LONDON LTD,
103157,ARCUCCI TRADE SRL,
103523,TARA O'CONNOR,
103524,CHIPOLO D.O.O.,
103525,AVEDA,
103632,QUIGLEY MEATS LTD,
103906,CRAAIE STUDIO,
104105,GROUND WELLBEING,
104230,WONDERCANDLE,
104231,EGOMARK LONDON,
104493,WHELANS SUPPLIES,
104512,NEVER FULLY DRESSED,
104968,GOLDENFASHION LTD,
105043,SILVER HILL DUCK,
105304,SANDE LLC,
105537,AMERICAN VINTAGE - SARL AARON,
106095,THE COMPLETIST LTD,
106096,SKIN FORMULAS,
106276,LE POM POM(GRANA KHAN TRADING),
106279,MIMI ET TOI,
106492,THE WONKY WOOLINS,
106707,TRADITIONAL CHEESE COMPANY,
106708,PETIT MOMENTS,
106968,AOIFE MULLANE,
107236,INISH LIVING,
107237,J.KERSTEN BV,
107239,SADIES SECRETS LIMITED,
107282,STERVINOU PEPINIERES,
107286,DUBLIN PIZZA COMPANY,
107383,SHOE THE BEAR UK LIMITED,
107436,CMP,
107484,MY ESSENTIAL WARDROBE,
107621,RIJNBEEK AND SON PERENNIALS,
107622,DAY ET A/S,
108145,BADGER COVE LTD T/A VERA FOODS,
108164,The Vacuum Pouch Company,
108166,ORBITKEY,
108299,GROWN ORGANICALLY LTD,
108311,OLLYS FARM,
108331,OLLYS FARM LIMITED,
108475,RUTH RIBEAUCOURT,
108478,PIGEON HOUSE,
108602,PETER COX PHOTOGRAPHY LTD,
108931,WEIRD WATERCOLOURS LTD,
108932,SAS JANE - SIMONE A BORDEAUX,
108940,COOKIE D�,
109599,HYAFIL PASCAL,
109600,ARONA NATURAL FRAGRANCE,
109683,TAYLOR & GRAY,
109830,EURO PACKAGING UK,
109967,V&A AGENCY AS,
109971,SIMPLE PURPOSE LTD,
109972,SHYLA,
110653,BURTON MCCALL LIMITED,
111594,SHEPHERD OF SWEEDEN,
111608,AMERICAN FOOD AND MORE STORE,
111663,AL DENTE PASTA SHOP LTD,
111934,GINGKO DESIGN LTD,
111935,AD-N-ART INC,
111955,VONDELS BV,
111958,THE FRENCH CORNER LTD (CLO),
111960,BRONX FASHION B.V.,
111962,AUURA SIA,
111963,VAIDAVA CERAMICS SIA,
111965,KYWIE,
112058,Steepletone UK LTD,
112113,HARRIET INGLIS,
112215,MOLESKINE,
112216,MDV EUROPE B.V,
112217,GRY&SIF APS,
112218,CHRISTMAS INSPIRATION,
112239,GRA CHOCOLATES,
112242,WILD AND SOFT BV,
112299,LAKRIDS BY BULOW,
112320,CLUSE / Europe Watch Group B.V,
112426,FEIGHCULLEN FARM,
112469,KINTA CV,
112538,CORINDALE LIMITED T/A SEAFOOD,
112551,TIMELESS BEAUTY LTD,
112557,JUST NOW DISTRIBUTION LIMITED,
112558,TARA KELLY T/A TAE TEA,
112605,SAS Fluid Market,
112606,VANESSA BARONI,
112643,YOKO WOOL PRODUCTS LTD,
112700,DE AQU� EN ADELANTE SL,
112715,HOLIDERMIE,
112716,FILT 1860,
112718,LIR CHOCOLATES LTD,
112719,ACTIVE DIFFERNCE,
112736,BIA BONA DEA,
112855,DUE SOUTH CLOTHING LTD,
112857,HERBI LTD. TREAT YO SELF,
112860,SUGAR PLUM SWEETY,
112873,ILEX STUDIO,
112874,SOWVITAL LTD,
112875,Bag All France SAS,
113025,NBY LONDON LTD,
113035,SANTINI GROUP S.R.L.,
113064,RAINBOW DESIGNS LTD,
113110,AVANTGARDE SRL,
113205,RECITEM,
113256,OTIS BATTERBEE LTD,
113325,DE WIT KORNHORN B.V.,
113349,THIRD ROUND S.L,
113402,KILLADOON FARM LTD,
113403,RELAXOUND GMBH,
113751,ORTIGIA SRL,
113775,EAT MY SOCKS,
113776,CITYGLADE LIMITED,
113884,LUBECH LIVING APS,
113952,COFARIM,
113986,KILLAHORA ORCHARDS,
114630,SMOREALICIOUS,
114772,RBN UK (DBA FREE PEOPLE),
114995,ART & CO,
115197,KALAGER DESIGN APS,
115325,JOLYS COLLECTION SRL,
115327,SEA PLUS SOLU LTD,
115561,EGO EYEWEAR LTD,
115563,KARE DESIGN,
